epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.39766666293144226,0.0010000000474974513,1.3757697343826294,0.20000000298023224,1.9055932760238647
1,0.5506666898727417,0.0010000000474974513,1.029110074043274,0.20000000298023224,2.023348331451416
2,0.6930000185966492,0.0010000000474974513,0.6665871739387512,0.4285714328289032,1.2287850379943848
3,0.7743333578109741,0.0010000000474974513,0.5043292045593262,0.8600000143051147,0.359733909368515
4,0.8486666679382324,0.0010000000474974513,0.36278632283210754,0.9057142734527588,0.31486549973487854
5,0.8930000066757202,0.0010000000474974513,0.26640310883522034,0.8885714411735535,0.4369581937789917
6,0.9066666960716248,0.0010000000474974513,0.23058107495307922,0.9142857193946838,0.331783264875412
7,0.9263333082199097,0.0010000000474974513,0.18783770501613617,0.9028571248054504,0.6609227657318115
8,0.9423333406448364,0.0010000000474974513,0.15565338730812073,0.9399999976158142,0.6087689995765686
9,0.9573333263397217,0.0010000000474974513,0.11479347944259644,0.9399999976158142,0.29884326457977295
10,0.9596666693687439,0.0010000000474974513,0.12151509523391724,0.9200000166893005,0.4779166579246521
11,0.9629999995231628,0.0010000000474974513,0.1094277948141098,0.9399999976158142,0.39571523666381836
12,0.9679999947547913,0.0010000000474974513,0.09552573412656784,0.9200000166893005,0.4797424376010895
13,0.9776666760444641,0.0010000000474974513,0.06829741597175598,0.9428571462631226,0.6077933311462402
14,0.9723333120346069,0.0010000000474974513,0.08043324947357178,0.9428571462631226,0.31433171033859253
15,0.9729999899864197,0.0010000000474974513,0.0871041789650917,0.9257143139839172,0.40476247668266296
16,0.981333315372467,0.0010000000474974513,0.06240684166550636,0.9342857003211975,0.462884783744812
17,0.984000027179718,0.0010000000474974513,0.054353103041648865,0.9428571462631226,0.38783299922943115
18,0.9826666712760925,0.0010000000474974513,0.05354456230998039,0.9171428680419922,0.3264005184173584
19,0.9856666922569275,0.0010000000474974513,0.05063141882419586,0.9228571653366089,0.38068655133247375
20,0.9776666760444641,0.0010000000474974513,0.061212558299303055,0.9142857193946838,0.7412983775138855
21,0.9800000190734863,0.0010000000474974513,0.06281821429729462,0.9628571271896362,0.25135838985443115
22,0.9883333444595337,0.0010000000474974513,0.0368255190551281,0.9342857003211975,0.3390141427516937
23,0.9879999756813049,0.0010000000474974513,0.03608791530132294,0.9457142949104309,0.43983668088912964
24,0.9816666841506958,0.0010000000474974513,0.058933477848768234,0.9428571462631226,0.33144399523735046
25,0.9803333282470703,0.0010000000474974513,0.05604557320475578,0.9200000166893005,0.40952789783477783
26,0.9906666874885559,0.0010000000474974513,0.03515278548002243,0.845714271068573,0.6140174865722656
27,0.9829999804496765,0.0010000000474974513,0.046672262251377106,0.9399999976158142,0.4049515128135681
28,0.9913333058357239,0.0010000000474974513,0.027721084654331207,0.9399999976158142,0.2857886552810669
29,0.9836666584014893,0.0010000000474974513,0.04443700239062309,0.9399999976158142,0.24738852679729462
30,0.9929999709129333,0.0005000000237487257,0.023623287677764893,0.9428571462631226,0.22139997780323029
31,0.9940000176429749,0.0005000000237487257,0.0170956589281559,0.9457142949104309,0.35712844133377075
32,0.9940000176429749,0.0005000000237487257,0.016936108469963074,0.9457142949104309,0.375522255897522
33,0.9950000047683716,0.0005000000237487257,0.019007252529263496,0.9485714435577393,0.26005515456199646
34,0.9993333220481873,0.0005000000237487257,0.005270099267363548,0.9428571462631226,0.26269257068634033
35,0.9950000047683716,0.0005000000237487257,0.017275191843509674,0.9714285731315613,0.333717405796051
36,0.9923333525657654,0.0005000000237487257,0.02784370258450508,0.9714285731315613,0.37241417169570923
37,0.9976666569709778,0.0005000000237487257,0.008334006182849407,0.9457142949104309,0.45009592175483704
38,0.9983333349227905,0.0005000000237487257,0.007232774514704943,0.9428571462631226,0.4721762537956238
39,0.9983333349227905,0.0005000000237487257,0.005301956087350845,0.9428571462631226,0.4304145574569702
40,0.9936666488647461,0.0005000000237487257,0.017068441957235336,0.9428571462631226,0.5923638939857483
41,0.9929999709129333,0.0005000000237487257,0.026259735226631165,0.9571428298950195,0.24747584760189056
42,0.9936666488647461,0.0005000000237487257,0.023336898535490036,0.9514285922050476,0.30382272601127625
43,0.9990000128746033,0.0005000000237487257,0.004964177031069994,0.9714285731315613,0.25042518973350525
44,0.996666669845581,0.0002500000118743628,0.014205963350832462,0.9714285731315613,0.22367990016937256
45,0.9976666569709778,0.0002500000118743628,0.006661013700067997,0.9428571462631226,0.5374742150306702
46,0.9983333349227905,0.0002500000118743628,0.005745997186750174,0.9428571462631226,0.49531111121177673
47,0.9986666440963745,0.0002500000118743628,0.005370956379920244,0.9428571462631226,0.5229241251945496
48,0.9980000257492065,0.0002500000118743628,0.010120533406734467,0.9457142949104309,0.42984065413475037
49,0.9983333349227905,0.0002500000118743628,0.004465661942958832,0.9457142949104309,0.3976913392543793
50,0.9993333220481873,0.0002500000118743628,0.003496191231533885,0.9428571462631226,0.44040077924728394
51,0.9983333349227905,0.0002500000118743628,0.00540163554251194,0.9428571462631226,0.314673513174057
52,0.9986666440963745,0.0001250000059371814,0.0039014138747006655,0.9428571462631226,0.3759423792362213
53,0.9980000257492065,0.0001250000059371814,0.007146509829908609,0.9457142949104309,0.2999417185783386
54,0.9986666440963745,0.0001250000059371814,0.0031408295035362244,0.9428571462631226,0.3522396981716156
55,0.999666690826416,0.0001250000059371814,0.003511563641950488,0.9428571462631226,0.393099308013916
